"state","st_abbr","countyname","pollutant","revoked_naaqs","area_name","split","yr1992","yr1993","yr1994","yr1995","yr1996","yr1997","yr1998","yr1999","yr2000","yr2001","yr2002","yr2003","yr2004","yr2005","yr2006","yr2007","yr2008","yr2009","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","effec_rede","nonattain","class","part","population","fips_state","fips_cnty","pollorder","composid","exportdt"
"ALABAMA","AL","Colbert County","Sulfur Dioxide (1971)",NA,"Colbert County (part); TVA Colbert Plant, AL",FALSE,"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34043",NA,"Secondary","P",54429,"01","033","C","SO2.1978.Colbert_Co",2023-01-31
"ALABAMA","AL","Jackson County","PM-2.5 (1997)",NA,"Chattanooga, TN-GA-AL",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05","06","07","08","09","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41995",NA,"Moderate","P",1760,"01","071","e","PM-2.5.1997.Chattanooga",2023-01-31
"ALABAMA","AL","Jefferson County","1-Hour Ozone (1979)","Revoked","Birmingham, AL",FALSE,"92","93","94","95","96","97","98","99","00","01","02","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38089",NA,"Marginal","W",658466,"01","073","G","Ozone_1-hr.1990.Birmingham",2023-01-31
"ALABAMA","AL","Jefferson County","8-Hour Ozone (1997)","Revoked","Birmingham, AL",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38880",NA,"Former Subpart 1","W",658466,"01","073","g","Ozone_8-hr.1997.Birmingham",2023-01-31
"ALABAMA","AL","Jefferson County","Lead (1978)",NA,"Jefferson County, AL",FALSE,"92","93","94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34765",NA,NA,"P",658472,"01","073","A","Lead.1992.Birmingham",2023-01-31
"ALABAMA","AL","Jefferson County","PM-2.5 (1997)",NA,"Birmingham, AL",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05","06","07","08","09","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41326",NA,"Former Subpart 1","W",658466,"01","073","g","PM-2.5.1997.Birmingham",2023-01-31
"ALABAMA","AL","Jefferson County","PM-2.5 (2006)",NA,"Birmingham, AL",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41330",NA,"Former Subpart 1","W",658466,"01","073","g","PM-2.5.2006.Birmingham",2023-01-31
"ALABAMA","AL","Lauderdale County","Sulfur Dioxide (1971)",NA,"Lauderdale County (part); TVA Colbert Plant, AL",FALSE,"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34043",NA,"Secondary","P",92707,"01","077","C","SO2.1978.Lauderdale_Co",2023-01-31
"ALABAMA","AL","Pike County","Lead (2008)",NA,"Troy, AL",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","12","13","14","15","16","17",NA,NA,NA,NA,NA,NA,"43301",NA,NA,"P",2275,"01","109","A","Lead.2008.Troy",2023-01-31
"ALABAMA","AL","Shelby County","1-Hour Ozone (1979)","Revoked","Birmingham, AL",FALSE,"92","93","94","95","96","97","98","99","00","01","02","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38089",NA,"Marginal","W",195085,"01","117","G","Ozone_1-hr.1990.Birmingham",2023-01-31
