"fips","GEOID","County","State","state_num","smm","Year","nbp"
"10001","10","Kent County","DE",10,1,1999,1
"10001","10","Kent County","DE",10,0,2002,1
"10001","10","Kent County","DE",10,0,1997,1
"10001","10","Kent County","DE",10,1,2006,1
"10001","10","Kent County","DE",10,0,2005,1
"10001","10","Kent County","DE",10,0,2000,1
"10001","10","Kent County","DE",10,1,1997,1
"10001","10","Kent County","DE",10,1,2000,1
"10001","10","Kent County","DE",10,1,2004,1
"10001","10","Kent County","DE",10,0,2004,1
"10001","10","Kent County","DE",10,0,2001,1
"10001","10","Kent County","DE",10,1,2001,1
"10001","10","Kent County","DE",10,0,2007,1
"10001","10","Kent County","DE",10,1,2007,1
"10001","10","Kent County","DE",10,0,1999,1
"10001","10","Kent County","DE",10,1,2003,1
"10001","10","Kent County","DE",10,0,1998,1
"10001","10","Kent County","DE",10,0,2003,1
"10001","10","Kent County","DE",10,1,2005,1
"10001","10","Kent County","DE",10,1,2002,1
"10001","10","Kent County","DE",10,1,1998,1
"10001","10","Kent County","DE",10,0,2006,1
"10003","10","New Castle County","DE",10,1,2004,1
"10003","10","New Castle County","DE",10,0,2005,1
"10003","10","New Castle County","DE",10,0,2003,1
"10003","10","New Castle County","DE",10,1,2002,1
"10003","10","New Castle County","DE",10,0,2002,1
"10003","10","New Castle County","DE",10,1,1997,1
"10003","10","New Castle County","DE",10,1,2001,1
"10003","10","New Castle County","DE",10,0,2004,1
"10003","10","New Castle County","DE",10,1,1999,1
"10003","10","New Castle County","DE",10,0,1998,1
"10003","10","New Castle County","DE",10,0,1999,1
"10003","10","New Castle County","DE",10,0,2006,1
"10003","10","New Castle County","DE",10,0,2007,1
"10003","10","New Castle County","DE",10,1,1998,1
"10003","10","New Castle County","DE",10,1,2007,1
"10003","10","New Castle County","DE",10,1,2000,1
"10003","10","New Castle County","DE",10,1,2003,1
"10003","10","New Castle County","DE",10,1,2005,1
"10003","10","New Castle County","DE",10,0,1997,1
"10003","10","New Castle County","DE",10,1,2006,1
"10003","10","New Castle County","DE",10,0,2000,1
"10003","10","New Castle County","DE",10,0,2001,1
"10005","10","Sussex County","DE",10,1,2003,1
"10005","10","Sussex County","DE",10,0,1999,1
"10005","10","Sussex County","DE",10,0,2002,1
"10005","10","Sussex County","DE",10,1,2000,1
"10005","10","Sussex County","DE",10,0,2007,1
"10005","10","Sussex County","DE",10,0,2005,1
"10005","10","Sussex County","DE",10,0,2001,1
"10005","10","Sussex County","DE",10,0,2004,1
"10005","10","Sussex County","DE",10,0,1997,1
"10005","10","Sussex County","DE",10,1,1997,1
"10005","10","Sussex County","DE",10,1,2007,1
"10005","10","Sussex County","DE",10,1,1998,1
"10005","10","Sussex County","DE",10,0,2003,1
"10005","10","Sussex County","DE",10,0,2006,1
"10005","10","Sussex County","DE",10,1,2002,1
"10005","10","Sussex County","DE",10,1,2001,1
"10005","10","Sussex County","DE",10,1,1999,1
"10005","10","Sussex County","DE",10,1,2004,1
"10005","10","Sussex County","DE",10,0,1998,1
"10005","10","Sussex County","DE",10,0,2000,1
"10005","10","Sussex County","DE",10,1,2005,1
"10005","10","Sussex County","DE",10,1,2006,1
"11001","11","District of Columbia","DC",11,0,1998,1
"11001","11","District of Columbia","DC",11,1,1997,1
"11001","11","District of Columbia","DC",11,0,2000,1
"11001","11","District of Columbia","DC",11,0,2004,1
"11001","11","District of Columbia","DC",11,0,2005,1
"11001","11","District of Columbia","DC",11,1,2006,1
"11001","11","District of Columbia","DC",11,0,1999,1
"11001","11","District of Columbia","DC",11,1,1998,1
"11001","11","District of Columbia","DC",11,1,2005,1
"11001","11","District of Columbia","DC",11,1,2000,1
"11001","11","District of Columbia","DC",11,1,1999,1
"11001","11","District of Columbia","DC",11,0,1997,1
"11001","11","District of Columbia","DC",11,0,2001,1
"11001","11","District of Columbia","DC",11,1,2002,1
"11001","11","District of Columbia","DC",11,0,2002,1
"11001","11","District of Columbia","DC",11,1,2001,1
"11001","11","District of Columbia","DC",11,1,2003,1
"11001","11","District of Columbia","DC",11,0,2007,1
"11001","11","District of Columbia","DC",11,0,2003,1
"11001","11","District of Columbia","DC",11,0,2006,1
"11001","11","District of Columbia","DC",11,1,2007,1
"11001","11","District of Columbia","DC",11,1,2004,1
"12001","12","Alachua County","FL",12,0,2001,0
"12001","12","Alachua County","FL",12,1,2006,0
"12001","12","Alachua County","FL",12,1,2001,0
"12001","12","Alachua County","FL",12,0,2000,0
"12001","12","Alachua County","FL",12,0,2002,0
"12001","12","Alachua County","FL",12,0,2003,0
"12001","12","Alachua County","FL",12,1,2002,0
"12001","12","Alachua County","FL",12,0,2007,0
"12001","12","Alachua County","FL",12,0,2006,0
"12001","12","Alachua County","FL",12,1,2003,0
"12001","12","Alachua County","FL",12,1,2005,0
"12001","12","Alachua County","FL",12,0,2005,0
"12001","12","Alachua County","FL",12,0,1997,0
"12001","12","Alachua County","FL",12,0,1999,0
"12001","12","Alachua County","FL",12,1,2004,0
"12001","12","Alachua County","FL",12,1,2007,0
"12001","12","Alachua County","FL",12,1,1999,0
"12001","12","Alachua County","FL",12,0,1998,0
"12001","12","Alachua County","FL",12,1,2000,0
"12001","12","Alachua County","FL",12,1,1997,0
"12001","12","Alachua County","FL",12,0,2004,0
"12001","12","Alachua County","FL",12,1,1998,0
"12003","12","Baker County","FL",12,0,1998,0
"12003","12","Baker County","FL",12,1,2007,0
"12003","12","Baker County","FL",12,0,2007,0
"12003","12","Baker County","FL",12,0,1997,0
"12003","12","Baker County","FL",12,1,2003,0
"12003","12","Baker County","FL",12,0,2006,0
"12003","12","Baker County","FL",12,1,2005,0
"12003","12","Baker County","FL",12,0,2005,0
"12003","12","Baker County","FL",12,0,1999,0
"12003","12","Baker County","FL",12,1,2004,0
"12003","12","Baker County","FL",12,1,1999,0
"12003","12","Baker County","FL",12,1,1997,0
"12003","12","Baker County","FL",12,0,2002,0
"12003","12","Baker County","FL",12,1,1998,0
"12003","12","Baker County","FL",12,1,2006,0
"12003","12","Baker County","FL",12,1,2001,0
"12003","12","Baker County","FL",12,0,2000,0
"12003","12","Baker County","FL",12,0,2001,0
"12003","12","Baker County","FL",12,0,2003,0
"12003","12","Baker County","FL",12,0,2004,0
"12003","12","Baker County","FL",12,1,2000,0
"12003","12","Baker County","FL",12,1,2002,0
"12005","12","Bay County","FL",12,1,2005,0
"12005","12","Bay County","FL",12,1,2004,0
"12005","12","Bay County","FL",12,1,2001,0
"12005","12","Bay County","FL",12,0,1997,0
"12005","12","Bay County","FL",12,0,2004,0
"12005","12","Bay County","FL",12,0,1999,0
